,neighbourhood_group,room_type,price,number_of_reviews,availability_365
0,0,1,149,9,365
1,1,2,225,45,355
2,1,1,150,0,365
3,0,2,89,270,194
4,1,2,80,9,0
5,1,2,200,74,129
6,0,1,60,49,0
7,1,1,79,430,220
8,1,1,79,118,0
9,1,2,150,160,188
10,1,2,135,53,6
11,1,1,85,188,39
12,0,1,89,167,314
13,1,1,85,113,333
14,1,2,120,27,0
15,0,2,140,148,46
16,0,2,215,198,321
17,1,1,140,260,12
18,0,2,99,53,21
19,1,2,190,0,249
20,0,2,299,9,0
21,0,1,130,130,347
22,0,1,80,39,364
23,0,1,110,71,304
24,0,2,120,88,233
25,0,1,60,19,85
26,1,1,80,0,0
27,1,2,150,58,75
28,1,1,44,108,311
29,1,2,180,29,67
30,1,1,50,242,355
31,1,1,52,88,255
32,0,1,55,197,284
33,1,1,50,273,359
34,0,1,70,74,269
35,0,1,89,168,340
36,0,1,35,0,365
37,0,2,85,231,22
38,0,1,150,0,365
39,1,0,40,214,188
40,1,1,68,245,96
41,0,2,120,15,345
42,0,1,120,25,311
43,1,1,135,81,273
44,1,2,150,97,309
45,0,2,150,11,95
46,2,1,130,248,215
47,0,2,110,61,265
48,0,2,115,11,0
49,0,1,80,135,192
50,0,1,80,112,251
51,1,2,151,73,302
52,0,2,228,82,140
53,0,2,144,328,234
54,1,2,200,19,257
55,0,2,150,105,30
56,1,1,110,19,301
57,1,1,69,289,294
58,0,1,49,138,320
59,1,2,180,21,154
60,0,1,80,42,263
61,1,2,375,5,180
62,1,2,250,66,231
63,0,2,200,143,297
64,0,1,55,27,292
65,1,1,52,191,191
66,0,2,225,4,0
67,1,1,80,338,72
68,0,2,275,148,362
69,1,1,99,106,336
70,1,2,225,190,215
71,1,2,230,49,116
72,1,1,51,23,88
73,1,1,65,49,336
74,0,1,105,105,304
75,1,2,190,21,224
76,1,1,200,142,322
77,2,1,70,25,324
78,0,1,95,143,132
79,1,1,150,167,295
80,0,1,145,61,238
81,1,2,110,54,209
82,1,2,285,70,328
83,0,2,130,16,38
84,1,1,94,94,188
85,0,2,800,25,7
86,0,2,105,61,272
87,1,1,60,194,26
88,1,1,50,2,0
89,0,1,85,174,288
90,0,1,65,24,317
91,0,2,131,166,207
92,0,1,98,16,185
93,0,2,250,21,158
94,0,2,100,168,0
95,0,2,105,118,9
96,1,2,140,81,198
97,1,1,89,1,365
98,1,1,98,30,364
99,0,2,125,139,311
100,1,1,60,11,219
101,0,2,175,233,342
102,1,1,65,68,312
103,1,2,500,46,243
104,0,1,101,335,152
105,0,2,220,88,9
106,0,2,125,162,137
107,0,2,80,29,222
108,1,1,100,170,346
109,0,2,200,19,208
110,1,1,59,334,279
111,0,1,125,19,250
112,1,2,140,12,164
113,0,2,120,467,192
114,1,2,350,7,298
115,1,2,199,38,260
116,0,2,325,324,107
117,1,2,235,27,199
118,1,2,225,115,299
119,0,1,99,354,20
120,1,2,170,195,318
121,0,2,400,16,216
122,1,2,170,13,224
123,1,2,100,25,0
124,0,1,75,9,324
125,0,1,90,9,245
126,1,2,150,21,189
127,1,1,85,36,307
128,0,1,70,63,310
129,1,2,120,155,213
130,0,1,89,260,278
131,1,2,185,73,209
132,0,1,50,193,0
133,1,2,105,32,16
134,1,1,130,50,234
135,1,2,115,26,12
136,0,1,77,2,178
137,0,1,76,426,275
138,0,2,125,227,163
139,0,1,135,84,365
140,0,2,250,3,34
141,0,2,199,10,280
142,0,2,140,4,0
143,2,1,140,1,1
144,0,2,115,124,170
145,0,2,160,11,188
146,0,2,195,240,214
147,1,2,195,30,248
148,0,1,80,200,262
149,0,1,44,27,280
150,1,1,156,79,307
151,0,1,85,9,339
152,0,1,125,155,1
153,0,2,115,4,269
154,1,1,69,34,10
155,1,2,225,134,312
156,0,2,125,27,189
157,1,2,219,126,290
158,0,2,475,23,230
159,1,2,99,234,164
160,0,1,69,202,53
161,2,1,79,28,126
162,0,2,135,309,3
163,0,1,250,14,189
164,1,2,250,4,365
165,0,2,250,80,0
166,1,2,80,2,0
167,0,1,70,294,336
168,0,2,165,150,342
169,3,1,70,166,312
170,0,1,50,47,37
171,4,1,40,219,353
172,0,2,150,193,177
173,1,1,125,84,310
174,1,2,196,114,0
175,0,1,110,213,321
176,1,2,170,86,246
177,1,2,165,80,231
178,1,2,150,38,225
179,1,2,100,18,0
180,0,1,65,206,0
181,2,2,350,10,365
182,1,1,99,122,233
183,0,2,200,33,1
184,0,2,150,52,18
185,0,1,90,126,343
186,0,1,120,51,250
187,1,1,75,199,326
188,0,2,175,30,364
189,1,2,125,3,0
190,1,2,275,41,299
191,1,2,299,109,207
192,0,2,135,151,162
193,1,1,130,0,0
194,1,1,83,285,7
195,1,1,123,375,328
196,2,1,55,52,365
197,1,2,195,10,0
198,0,1,80,11,0
199,2,2,98,33,240
200,2,1,140,6,365
201,2,2,265,38,365
202,0,2,249,358,164
203,1,0,105,10,363
204,1,1,200,0,365
205,0,1,100,226,250
206,1,2,121,104,247
207,4,1,45,138,323
208,1,1,100,204,192
209,0,2,140,253,125
210,0,1,71,23,91
211,1,1,130,115,75
212,1,2,199,129,286
213,0,1,69,82,60
214,0,1,68,37,0
215,1,2,130,204,192
216,0,2,195,69,58
217,1,1,64,192,245
218,2,2,140,17,292
219,0,2,159,222,279
220,1,2,189,205,0
221,1,2,250,94,3
222,1,2,239,7,351
223,1,2,305,108,201
224,1,2,155,222,232
225,1,1,60,458,258
226,0,1,135,21,272
227,1,1,120,17,341
228,1,2,150,41,244
229,2,2,140,1,365
230,0,2,135,69,12
231,1,2,250,18,265
232,1,2,250,82,0
233,1,2,500,94,329
234,1,2,225,10,91
235,1,2,125,183,365
236,1,1,92,189,253
237,1,1,175,1,365
238,1,2,99,127,320
239,1,2,195,4,0
240,1,2,140,135,192
241,1,2,135,21,0
242,1,2,500,35,348
243,1,1,80,10,0
244,1,1,120,171,353
245,1,2,110,92,140
246,0,2,65,238,2
247,1,2,130,56,56
248,0,2,99,111,68
249,3,1,36,193,360
250,3,1,37,147,0
251,3,1,37,177,320
252,1,2,175,185,326
253,1,2,205,62,76
254,0,2,285,124,279
255,0,1,59,181,15
256,3,1,36,333,340
257,2,2,99,441,226
258,0,1,39,45,365
259,0,1,60,9,0
260,4,1,90,0,349
261,4,2,105,38,365
262,0,2,135,248,11
263,1,2,390,143,316
264,0,1,70,36,281
265,1,1,75,0,323
266,0,1,60,14,362
267,1,2,200,0,0
268,0,1,100,279,301
269,0,1,70,18,189
